ablation_type,ablation_rank,mean_absolute_drop,std_absolute_drop,mean_percentage_drop,n
cumulative_top_shapley,1,0.3975985742121111,,0.5541217791382188,1
cumulative_top_shapley,2,0.45709410807791073,,0.637039005745041,1
cumulative_top_shapley,3,0.4796612342079243,,0.668490165010337,1
cumulative_top_shapley,4,0.6005000144175909,,0.8368997223417753,1
cumulative_top_shapley,5,0.6439742260682237,,0.8974884896788247,1
random_control,1,0.06921092612525684,0.14310620302223645,0.09645729136813122,20
random_control,2,0.03476464058871329,0.08818885356299398,0.04845048685673017,20
random_control,3,0.1623124135140756,0.18659906865306353,0.2262101757554497,20
random_control,4,0.19531607009302618,0.18263565851193847,0.27220642948406226,20
random_control,5,0.22081407295721434,0.1911097235053986,0.30774226796027826,20
single_top_shapley,1,0.3975985742121111,,0.5541217791382188,1
single_top_shapley,2,0.05950640907678917,,0.08293238307782812,1
single_top_shapley,3,0.007796970442157658,,0.010866415056588254,1
single_top_shapley,4,0.0005939344087124709,,0.0008277494251566043,1
single_top_shapley,5,0.0033008248131096707,,0.004600265284372328,1
