shapley_rank,zone_id,zone_name,borough,shapley_value,shapley_standard_error,ci_lower,ci_upper,start_zone,start_time,value_unit,competition_scenario,method,num_permutations,candidate_zone_count,baseline_value,full_coalition_value,state_coverage_count,discovery_sources,singleton_value,singleton_gain_over_wait_only,pair_synergy_with_best_anchor,reposition_time_from_start,reposition_distance_from_start,selection_reason,selected_player_order
1,186,Penn Station/Madison Sq West,Manhattan,0.41483678729504275,0.0,0.41483678729504275,0.41483678729504275,132,08:00,USD_per_2h,medium,exact,3628800,10,70.88816547800225,71.59946098977616,65,dynamic_depth_1|dynamic_depth_2|passenger_reachable,71.30301149157934,0.4148460135770904,0.0,73.29275659246944,12.8840465449518,singleton_gain|pair_synergy,1.0
2,93,Flushing Meadows-Corona Park,Queens,0.1141547937014845,0.0,0.1141547937014845,0.1141547937014845,132,08:00,USD_per_2h,medium,exact,3628800,10,70.88816547800225,71.59946098977616,95,dynamic_depth_1|dynamic_depth_2|passenger_reachable,71.1339194964817,0.24575401847944534,-7.943311146618726e-07,54.11470197579984,11.298168045517139,singleton_gain|multi_state_coverage,2.0
3,216,South Ozone Park,Queens,0.058078191625123496,0.0,0.058078191625123496,0.058078191625123496,132,08:00,USD_per_2h,medium,exact,3628800,10,70.88816547800225,71.59946098977616,93,dynamic_depth_0|dynamic_depth_1|dynamic_depth_2|passenger_reachable,71.08049236328183,0.1923268852795843,-1.3303681441811932e-05,14.654849494161818,4.269912524182017,singleton_gain|multi_state_coverage,4.0
4,134,Kew Gardens,Queens,0.054056091927828544,0.0,0.054056091927828544,0.054056091927828544,132,08:00,USD_per_2h,medium,exact,3628800,10,70.88816547800225,71.59946098977616,60,dynamic_depth_0|dynamic_depth_1|dynamic_depth_2|passenger_reachable,71.08251840514765,0.19435292714540253,-1.1081948855462542e-05,37.74234649079695,7.600310902659997,singleton_gain,3.0
5,197,Richmond Hill,Queens,0.04030857439455386,0.0,0.04030857439455386,0.04030857439455386,132,08:00,USD_per_2h,medium,exact,3628800,10,70.88816547800225,71.59946098977616,72,dynamic_depth_0|dynamic_depth_1|dynamic_depth_2|passenger_reachable,71.04816215015546,0.15999667215321267,-7.66579364608333e-06,25.725891407791657,5.943196474799301,rank_aggregate,10.0
6,138,LaGuardia Airport,Queens,0.019631424190283617,0.0,0.019631424190283617,0.019631424190283617,132,08:00,USD_per_2h,medium,exact,3628800,10,70.88816547800225,71.59946098977616,111,dynamic_depth_1|dynamic_depth_2|passenger_reachable,70.9431879292187,0.05502245121644478,-1.2084637248221952e-05,63.33906801713973,14.051968045517139,multi_state_coverage,5.0
7,28,Briarwood/Jamaica Hills,Queens,0.010201444167792421,0.0,0.010201444167792421,0.010201444167792421,132,08:00,USD_per_2h,medium,exact,3628800,10,70.88816547800225,71.59946098977616,18,dynamic_depth_1|dynamic_depth_2|passenger_reachable,70.93917660023648,0.05101112223422888,6.171159782297764e-06,39.24799855694036,7.9228949672616125,pair_synergy,7.0
8,237,Upper East Side South,Manhattan,2.820447180316895e-05,0.0,2.820447180316895e-05,2.820447180316895e-05,132,08:00,USD_per_2h,medium,exact,3628800,10,70.88816547800225,71.59946098977616,99,dynamic_depth_1|dynamic_depth_2|passenger_reachable,70.88823330448653,6.78264842832732e-05,-2.1771025259909038e-05,71.70506358081963,12.604947878013506,multi_state_coverage,6.0
9,130,Jamaica,Queens,0.0,0.0,0.0,0.0,132,08:00,USD_per_2h,medium,exact,3628800,10,70.88816547800225,71.59946098977616,71,dynamic_depth_1|dynamic_depth_2|passenger_reachable,70.88816547800225,0.0,0.0,30.35219975419229,6.691632954289544,pair_synergy,8.0
10,161,Midtown Center,Manhattan,0.0,0.0,0.0,0.0,132,08:00,USD_per_2h,medium,exact,3628800,10,70.88816547800225,71.59946098977616,71,dynamic_depth_1|dynamic_depth_2|passenger_reachable,70.88816547800225,0.0,0.0,71.84101445555842,12.628846520654292,pair_synergy,9.0
