ablation_type,ablation_rank,removed_zone_ids,removed_zone_names,baseline_full_value,ablated_value,absolute_drop,percentage_drop,random_rep
single_top_shapley,1,186,Penn Station/Madison Sq West,102.98494959144001,102.41283626274426,0.5721133286957496,0.5555310081380115,
single_top_shapley,2,93,Flushing Meadows-Corona Park,102.98494959144001,102.89930576602512,0.08564382541489124,0.08316149666010018,
single_top_shapley,3,216,South Ozone Park,102.98494959144001,102.97423139460562,0.01071819683438946,0.010407537098294938,
single_top_shapley,4,134,Kew Gardens,102.98494959144001,102.9840976836165,0.0008519078235167399,0.0008272158474577235,
single_top_shapley,5,138,LaGuardia Airport,102.98494959144001,102.98020153990457,0.004748051535443665,0.004610432450838736,
cumulative_top_shapley,1,186,Penn Station/Madison Sq West,102.98494959144001,102.41283626274426,0.5721133286957496,0.5555310081380115,
cumulative_top_shapley,2,186|93,Penn Station/Madison Sq West|Flushing Meadows-Corona Park,102.98494959144001,102.32720819670264,0.6577413947373714,0.6386772021996912,
cumulative_top_shapley,3,186|93|216,Penn Station/Madison Sq West|Flushing Meadows-Corona Park|South Ozone Park,102.98494959144001,102.29632988821366,0.688619703226351,0.6686605236573212,
cumulative_top_shapley,4,186|93|216|134,Penn Station/Madison Sq West|Flushing Meadows-Corona Park|South Ozone Park|Kew Gardens,102.98494959144001,102.12258429082948,0.8623653006105343,0.8373702216019855,
cumulative_top_shapley,5,186|93|216|134|138,Penn Station/Madison Sq West|Flushing Meadows-Corona Park|South Ozone Park|Kew Gardens|LaGuardia Airport,102.98494959144001,102.05986889164173,0.9250806997982863,0.8982678570686778,
random_control,1,134,Kew Gardens,102.98494959144001,102.9840976836165,0.0008519078235167399,0.0008272158474577235,0.0
random_control,1,219,Springfield Gardens South,102.98494959144001,102.98382972494485,0.0011198664951592718,0.0010874079169839723,1.0
random_control,1,134,Kew Gardens,102.98494959144001,102.9840976836165,0.0008519078235167399,0.0008272158474577235,2.0
random_control,1,138,LaGuardia Airport,102.98494959144001,102.98020153990457,0.004748051535443665,0.004610432450838736,3.0
random_control,1,186,Penn Station/Madison Sq West,102.98494959144001,102.41283626274426,0.5721133286957496,0.5555310081380115,4.0
random_control,1,130,Jamaica,102.98494959144001,102.98494959144001,0.0,0.0,5.0
random_control,1,28,Briarwood/Jamaica Hills,102.98494959144001,102.98494959144001,0.0,0.0,6.0
random_control,1,138,LaGuardia Airport,102.98494959144001,102.98020153990457,0.004748051535443665,0.004610432450838736,7.0
random_control,1,134,Kew Gardens,102.98494959144001,102.9840976836165,0.0008519078235167399,0.0008272158474577235,8.0
random_control,1,186,Penn Station/Madison Sq West,102.98494959144001,102.41283626274426,0.5721133286957496,0.5555310081380115,9.0
random_control,1,134,Kew Gardens,102.98494959144001,102.9840976836165,0.0008519078235167399,0.0008272158474577235,10.0
random_control,1,93,Flushing Meadows-Corona Park,102.98494959144001,102.89930576602512,0.08564382541489124,0.08316149666010018,11.0
random_control,1,134,Kew Gardens,102.98494959144001,102.9840976836165,0.0008519078235167399,0.0008272158474577235,12.0
random_control,1,161,Midtown Center,102.98494959144001,102.98494959144001,0.0,0.0,13.0
random_control,1,219,Springfield Gardens South,102.98494959144001,102.98382972494485,0.0011198664951592718,0.0010874079169839723,14.0
random_control,1,161,Midtown Center,102.98494959144001,102.98494959144001,0.0,0.0,15.0
random_control,1,93,Flushing Meadows-Corona Park,102.98494959144001,102.89930576602512,0.08564382541489124,0.08316149666010018,16.0
random_control,1,93,Flushing Meadows-Corona Park,102.98494959144001,102.89930576602512,0.08564382541489124,0.08316149666010018,17.0
random_control,1,186,Penn Station/Madison Sq West,102.98494959144001,102.41283626274426,0.5721133286957496,0.5555310081380115,18.0
random_control,1,138,LaGuardia Airport,102.98494959144001,102.98020153990457,0.004748051535443665,0.004610432450838736,19.0
random_control,2,134|216,Kew Gardens|South Ozone Park,102.98494959144001,102.93092874788891,0.054020843551100484,0.052455085685249134,0.0
random_control,2,134|219,Kew Gardens|Springfield Gardens South,102.98494959144001,102.98297945428509,0.0019701371549274427,0.0019130340527847363,1.0
random_control,2,161|216,Midtown Center|South Ozone Park,102.98494959144001,102.97423139460562,0.01071819683438946,0.010407537098294938,2.0
random_control,2,134|216,Kew Gardens|South Ozone Park,102.98494959144001,102.93092874788891,0.054020843551100484,0.052455085685249134,3.0
random_control,2,138|219,LaGuardia Airport|Springfield Gardens South,102.98494959144001,102.979081673475,0.005867917965019842,0.005697840304140496,4.0
random_control,2,130|186,Jamaica|Penn Station/Madison Sq West,102.98494959144001,102.41283626274426,0.5721133286957496,0.5555310081380115,5.0
random_control,2,130|219,Jamaica|Springfield Gardens South,102.98494959144001,102.98382972494485,0.0011198664951592718,0.0010874079169839723,6.0
random_control,2,138|216,LaGuardia Airport|South Ozone Park,102.98494959144001,102.96946955838779,0.015480033052227782,0.015031354691767956,7.0
random_control,2,161|237,Midtown Center|Upper East Side South,102.98494959144001,102.98492701901557,2.2572424441591465e-05,2.191817788049649e-05,8.0
random_control,2,134|219,Kew Gardens|Springfield Gardens South,102.98494959144001,102.98297945428509,0.0019701371549274427,0.0019130340527847363,9.0
random_control,2,130|219,Jamaica|Springfield Gardens South,102.98494959144001,102.98382972494485,0.0011198664951592718,0.0010874079169839723,10.0
random_control,2,28|237,Briarwood/Jamaica Hills|Upper East Side South,102.98494959144001,102.98492701901557,2.2572424441591465e-05,2.191817788049649e-05,11.0
random_control,2,130|134,Jamaica|Kew Gardens,102.98494959144001,102.9840976836165,0.0008519078235167399,0.0008272158474577235,12.0
random_control,2,28|93,Briarwood/Jamaica Hills|Flushing Meadows-Corona Park,102.98494959144001,102.89930576602512,0.08564382541489124,0.08316149666010018,13.0
random_control,2,28|93,Briarwood/Jamaica Hills|Flushing Meadows-Corona Park,102.98494959144001,102.89930576602512,0.08564382541489124,0.08316149666010018,14.0
random_control,2,93|130,Flushing Meadows-Corona Park|Jamaica,102.98494959144001,102.89930576602512,0.08564382541489124,0.08316149666010018,15.0
random_control,2,216|219,South Ozone Park|Springfield Gardens South,102.98494959144001,102.97252047671698,0.012429114723033763,0.01206886518111852,16.0
random_control,2,130|216,Jamaica|South Ozone Park,102.98494959144001,102.97423139460562,0.01071819683438946,0.010407537098294938,17.0
random_control,2,138|161,LaGuardia Airport|Midtown Center,102.98494959144001,102.98020153990457,0.004748051535443665,0.004610432450838736,18.0
random_control,2,130|237,Jamaica|Upper East Side South,102.98494959144001,102.98492701901557,2.2572424441591465e-05,2.191817788049649e-05,19.0
random_control,3,93|130|138,Flushing Meadows-Corona Park|Jamaica|LaGuardia Airport,102.98494959144001,102.8717042828454,0.1132453085946139,0.10996296938909869,0.0
random_control,3,28|93|219,Briarwood/Jamaica Hills|Flushing Meadows-Corona Park|Springfield Gardens South,102.98494959144001,102.89823463681427,0.08671495462574796,0.08420157991023147,1.0
random_control,3,28|161|216,Briarwood/Jamaica Hills|Midtown Center|South Ozone Park,102.98494959144001,102.97423139460562,0.01071819683438946,0.010407537098294938,2.0
random_control,3,161|186|237,Midtown Center|Penn Station/Madison Sq West|Upper East Side South,102.98494959144001,102.41280348084132,0.5721461105986947,0.5555628398795185,3.0
random_control,3,93|130|219,Flushing Meadows-Corona Park|Jamaica|Springfield Gardens South,102.98494959144001,102.89823463681427,0.08671495462574796,0.08420157991023147,4.0
random_control,3,130|134|138,Jamaica|Kew Gardens|LaGuardia Airport,102.98494959144001,102.97935202145753,0.005597569982484174,0.005435328176292507,5.0
