baseline,base_allowed_zone_ids,zone_id,zone_name,shapley_value,standard_error,method,baseline_coalition_value,full_coalition_value,rank
wait_only,,186,Penn Station/Madison Sq West,0.5721152373605973,0.0,exact,101.98553634765801,102.98494959144001,1.0
wait_only,,93,Flushing Meadows-Corona Park,0.17876899645992778,0.0,exact,101.98553634765801,102.98494959144001,2.0
wait_only,,216,South Ozone Park,0.10200619751802438,0.0,exact,101.98553634765801,102.98494959144001,3.0
wait_only,,134,Kew Gardens,0.0968193060407907,0.0,exact,101.98553634765801,102.98494959144001,4.0
wait_only,,138,LaGuardia Airport,0.029953737372929872,0.0,exact,101.98553634765801,102.98494959144001,5.0
wait_only,,28,Briarwood/Jamaica Hills,0.018058643376998938,0.0,exact,101.98553634765801,102.98494959144001,6.0
wait_only,,219,Springfield Gardens South,0.0016471510838464449,0.0,exact,101.98553634765801,102.98494959144001,7.0
wait_only,,237,Upper East Side South,4.397456888623551e-05,0.0,exact,101.98553634765801,102.98494959144001,8.0
wait_only,,130,Jamaica,0.0,0.0,exact,101.98553634765801,102.98494959144001,9.0
wait_only,,161,Midtown Center,0.0,0.0,exact,101.98553634765801,102.98494959144001,9.0
highest_demand_external,76,186,Penn Station/Madison Sq West,0.5721152373605973,0.0,exact,101.98553634765801,102.98494959144001,1.0
highest_demand_external,76,93,Flushing Meadows-Corona Park,0.17876899645992778,0.0,exact,101.98553634765801,102.98494959144001,2.0
highest_demand_external,76,216,South Ozone Park,0.10200619751802438,0.0,exact,101.98553634765801,102.98494959144001,3.0
highest_demand_external,76,134,Kew Gardens,0.0968193060407907,0.0,exact,101.98553634765801,102.98494959144001,4.0
highest_demand_external,76,138,LaGuardia Airport,0.029953737372929872,0.0,exact,101.98553634765801,102.98494959144001,5.0
highest_demand_external,76,28,Briarwood/Jamaica Hills,0.018058643376998938,0.0,exact,101.98553634765801,102.98494959144001,6.0
highest_demand_external,76,219,Springfield Gardens South,0.0016471510838464449,0.0,exact,101.98553634765801,102.98494959144001,7.0
highest_demand_external,76,237,Upper East Side South,4.397456888623551e-05,0.0,exact,101.98553634765801,102.98494959144001,8.0
highest_demand_external,76,130,Jamaica,0.0,0.0,exact,101.98553634765801,102.98494959144001,9.0
highest_demand_external,76,161,Midtown Center,0.0,0.0,exact,101.98553634765801,102.98494959144001,9.0
highest_income_external,2,186,Penn Station/Madison Sq West,0.5721152373605973,0.0,exact,101.98553634765801,102.98494959144001,1.0
highest_income_external,2,93,Flushing Meadows-Corona Park,0.17876899645992778,0.0,exact,101.98553634765801,102.98494959144001,2.0
highest_income_external,2,216,South Ozone Park,0.10200619751802438,0.0,exact,101.98553634765801,102.98494959144001,3.0
highest_income_external,2,134,Kew Gardens,0.0968193060407907,0.0,exact,101.98553634765801,102.98494959144001,4.0
highest_income_external,2,138,LaGuardia Airport,0.029953737372929872,0.0,exact,101.98553634765801,102.98494959144001,5.0
highest_income_external,2,28,Briarwood/Jamaica Hills,0.018058643376998938,0.0,exact,101.98553634765801,102.98494959144001,6.0
highest_income_external,2,219,Springfield Gardens South,0.0016471510838464449,0.0,exact,101.98553634765801,102.98494959144001,7.0
highest_income_external,2,237,Upper East Side South,4.397456888623551e-05,0.0,exact,101.98553634765801,102.98494959144001,8.0
highest_income_external,2,130,Jamaica,0.0,0.0,exact,101.98553634765801,102.98494959144001,9.0
highest_income_external,2,161,Midtown Center,0.0,0.0,exact,101.98553634765801,102.98494959144001,9.0
greedy_external,2,186,Penn Station/Madison Sq West,0.5721152373605973,0.0,exact,101.98553634765801,102.98494959144001,1.0
greedy_external,2,93,Flushing Meadows-Corona Park,0.17876899645992778,0.0,exact,101.98553634765801,102.98494959144001,2.0
greedy_external,2,216,South Ozone Park,0.10200619751802438,0.0,exact,101.98553634765801,102.98494959144001,3.0
greedy_external,2,134,Kew Gardens,0.0968193060407907,0.0,exact,101.98553634765801,102.98494959144001,4.0
greedy_external,2,138,LaGuardia Airport,0.029953737372929872,0.0,exact,101.98553634765801,102.98494959144001,5.0
greedy_external,2,28,Briarwood/Jamaica Hills,0.018058643376998938,0.0,exact,101.98553634765801,102.98494959144001,6.0
greedy_external,2,219,Springfield Gardens South,0.0016471510838464449,0.0,exact,101.98553634765801,102.98494959144001,7.0
greedy_external,2,237,Upper East Side South,4.397456888623551e-05,0.0,exact,101.98553634765801,102.98494959144001,8.0
greedy_external,2,130,Jamaica,0.0,0.0,exact,101.98553634765801,102.98494959144001,9.0
greedy_external,2,161,Midtown Center,0.0,0.0,exact,101.98553634765801,102.98494959144001,9.0
