rank,algorithm,episodes,mean_net_earnings_2h,net_earnings_std,ci_lower,ci_upper,median_net_earnings_2h,worst_10_percent,mean_gross_revenue_2h,mean_operating_cost_2h,mean_completed_trips,completed_trips_std,mean_waiting_minutes,mean_empty_minutes,mean_occupied_minutes,mean_unfinished_occupied_minutes,mean_terminal_unused_minutes,mean_accounted_minutes,max_abs_time_accounting_error,mean_empty_miles,mean_occupied_miles,unfinished_trip_rate,mean_wait_decisions,mean_reposition_decisions,reposition_decision_share,first_action_wait_rate,competition_scenario,start_zone_expected_wait_min,start_zone_competitors_equivalent,learning_models_retrained_for_scenario
1,wait_only,150,107.14740965583947,26.38467544241571,102.92498218746591,111.36983712421302,106.872401191721,79.7515028816769,114.64986778729003,7.502458131450577,3.42,1.4154943168638388,27.372726218080235,0.0,86.72864210142582,5.898631680493946,0.0,120.0,2.842170943040401e-14,0.0,21.435594661287364,0.5666666666666667,8.226666666666667,0.0,0.0,1.0,low,1.0,0.9045703150004702,False
2,finite_horizon_value_iteration,150,107.10043072383509,26.64768458368191,102.83591302680061,111.36494842086957,106.50273958699077,77.52927227695267,115.2740624300229,8.173631706187802,3.066666666666667,1.224288132658051,19.596871078629096,7.316805246699908,86.47113625485214,6.615187419818859,0.0,120.0,2.842170943040401e-14,1.2018072705324319,22.15142617571843,0.62,6.513333333333334,0.5733333333333334,0.07920079920079921,1.0,low,1.0,0.9045703150004702,False
3,dqn,150,105.97735414392851,26.2074607078095,101.78328693963456,110.17142134822245,106.79068169509367,76.45895159656969,114.00070945719631,8.023355313267782,3.3133333333333335,1.311470646743835,17.26193889984394,10.577694448040628,85.95043090558468,6.209935746530765,0.0,120.0,2.842170943040401e-14,1.376965049338425,21.546907274283807,0.6,6.26,1.0666666666666667,0.14156027306027305,1.0,low,1.0,0.9045703150004702,False
4,greedy_net_earnings,150,95.30540515673457,27.57581272120778,90.89235602331335,99.71845429015578,88.03191543877823,68.8276356504161,104.00097417799186,8.695569021257299,2.2266666666666666,1.081551623820525,11.17962176686052,23.054167976359654,76.78801276170326,8.978197495076556,0.0,120.0,2.842170943040401e-14,3.845863521428712,20.998619396449286,0.6666666666666666,4.38,0.9666666666666667,0.19346897546897546,1.0,low,1.0,0.9045703150004702,False
5,q_learning,150,92.50941291871297,24.870011192628997,88.52938221385546,96.48944362357048,89.88087766020736,66.27364097407954,100.91585371859728,8.406440799884328,2.2933333333333334,0.9799785415173394,10.182795686723374,27.086966511164906,74.18147544805026,8.507602866935267,0.041159487126190206,120.0,2.842170943040401e-14,3.7200702784145263,20.298332006969268,0.5866666666666667,4.26,1.2733333333333334,0.22998749398749396,1.0,low,1.0,0.9045703150004702,False
6,highest_demand,150,82.71293781873088,22.084465159634398,79.17868732101692,86.24718831644483,80.92595114749359,57.0257369930581,90.9706625465899,8.257724727859026,1.92,0.8632698878849298,5.622416027261746,39.270956708352905,70.03557278133962,5.071054483045731,0.0,120.0,2.842170943040401e-14,4.958283838068008,18.635215384386353,0.7,3.2133333333333334,1.74,0.34618446368446365,1.0,low,1.0,0.9045703150004702,False
7,highest_income,150,77.98271953460144,24.564188190232496,74.0516307031658,81.91380836603709,74.2559026740199,55.9312671059572,87.22863513083234,9.245915596230894,1.26,0.5363310607371248,7.150404800639894,41.546151050243026,64.15315777589085,7.150286373226222,0.0,120.0,2.842170943040401e-14,7.8267774720111385,18.590124231505705,0.6933333333333334,2.98,1.4533333333333334,0.33253703703703696,1.0,low,1.0,0.9045703150004702,False
1,finite_horizon_value_iteration,150,101.88601746284972,25.32988511998166,97.83239160208133,105.93964332361811,100.19849560213873,74.40888801340971,109.91265780367222,8.026640340822487,2.7733333333333334,1.1477826108197593,20.11952936099157,10.39449562675433,83.3137814612082,6.172193551045915,0.0,120.0,4.263256414560601e-14,1.544085176810891,21.38917293982479,0.4866666666666667,6.373333333333333,0.92,0.12525554075554074,1.0,medium,1.4196155965005384,1.7037577238066106,False
2,dqn,150,101.6102621915511,23.44060446472829,97.85898420508646,105.36154017801574,101.3064463495618,75.24494831757696,109.57908645256704,7.968824261015942,2.98,1.1080547075389953,18.926778132739916,13.102541906756604,82.49044298969459,5.480236970808886,0.0,120.0,2.842170943040401e-14,1.743656811486085,21.024412505702323,0.52,6.273333333333333,1.36,0.17069652569652569,1.0,medium,1.4196155965005384,1.7037577238066106,False
3,wait_only,150,101.24837956726907,25.113998500196693,97.22930276113748,105.26745637340066,98.62047376055554,74.91574759472758,108.47440585861169,7.22602629134262,3.0533333333333332,1.359957888543971,32.65215710213877,0.0,82.6766937188172,4.671149179044002,0.0,120.0,2.842170943040401e-14,0.0,20.64578940383606,0.43333333333333335,9.006666666666666,0.0,0.0,1.0,medium,1.4196155965005384,1.7037577238066106,False
