zone_id,pickup_demand,dropoff_demand,total_node_demand
1,128.0,40650.0,40778.0
2,25.0,41.0,66.0
3,1947.0,2897.0,4844.0
4,60627.0,98051.0,158678.0
5,5.0,56.0,61.0
6,257.0,478.0,735.0
7,34946.0,56036.0,90982.0
8,192.0,321.0,513.0
9,765.0,2650.0,3415.0
10,9653.0,21974.0,31627.0
11,1352.0,2440.0,3792.0
12,7171.0,10876.0,18047.0
13,133954.0,162175.0,296129.0
14,7509.0,19236.0,26745.0
15,670.0,2852.0,3522.0
16,1336.0,5171.0,6507.0
17,17446.0,31163.0,48609.0
18,4139.0,5897.0,10036.0
19,1759.0,3575.0,5334.0
20,2283.0,4720.0,7003.0
21,2620.0,4947.0,7567.0
22,3683.0,6828.0,10511.0
23,132.0,410.0,542.0
24,57100.0,70108.0,127208.0
25,21307.0,39281.0,60588.0
26,5539.0,10516.0,16055.0
27,100.0,454.0,554.0
28,5915.0,10336.0,16251.0
29,2363.0,4719.0,7082.0
30,94.0,272.0,366.0
31,486.0,1540.0,2026.0
32,2414.0,3356.0,5770.0
33,22341.0,56122.0,78463.0
34,2792.0,3606.0,6398.0
35,13645.0,14572.0,28217.0
36,15864.0,24034.0,39898.0
37,23522.0,37962.0,61484.0
38,1811.0,5140.0,6951.0
39,15860.0,19233.0,35093.0
40,6704.0,18878.0,25582.0
41,83911.0,137733.0,221644.0
42,53331.0,107243.0,160574.0
43,299110.0,217650.0,516760.0
44,10.0,100.0,110.0
45,41974.0,65984.0,107958.0
46,283.0,707.0,990.0
47,3572.0,4456.0,8028.0
48,527431.0,511443.0,1038874.0
49,14554.0,34013.0,48567.0
50,136870.0,225410.0,362280.0
51,5227.0,7008.0,12235.0
52,6889.0,14561.0,21450.0
53,1714.0,4898.0,6612.0
54,1746.0,5095.0,6841.0
55,5411.0,8925.0,14336.0
56,5551.0,10809.0,16360.0
57,358.0,589.0,947.0
58,254.0,660.0,914.0
59,111.0,211.0,322.0
60,2902.0,2992.0,5894.0
61,31764.0,49646.0,81410.0
62,9357.0,14150.0,23507.0
63,6859.0,8973.0,15832.0
64,608.0,2908.0,3516.0
65,23770.0,33481.0,57251.0
66,21043.0,32600.0,53643.0
67,1974.0,4343.0,6317.0
68,567574.0,561682.0,1129256.0
69,7397.0,10107.0,17504.0
70,63098.0,10465.0,73563.0
71,10747.0,12159.0,22906.0
72,12826.0,13047.0,25873.0
73,727.0,2399.0,3126.0
74,74287.0,155883.0,230170.0
75,150061.0,251091.0,401152.0
76,24525.0,29156.0,53681.0
77,6381.0,7687.0,14068.0
78,4312.0,5627.0,9939.0
79,549006.0,477793.0,1026799.0
80,22005.0,32982.0,54987.0
81,2940.0,3484.0,6424.0
82,14692.0,21718.0,36410.0
83,5462.0,7413.0,12875.0
84,6.0,162.0,168.0
85,7899.0,9651.0,17550.0
86,3541.0,6323.0,9864.0
87,136216.0,199195.0,335411.0
88,67715.0,88506.0,156221.0
89,18307.0,28335.0,46642.0
90,340987.0,319993.0,660980.0
91,11134.0,12423.0,23557.0
92,5739.0,17530.0,23269.0
93,4587.0,12575.0,17162.0
94,2148.0,2843.0,4991.0
95,11992.0,30953.0,42945.0
96,377.0,1006.0,1383.0
97,23391.0,33784.0,57175.0
98,1163.0,3657.0,4820.0
99,1.0,2.0,3.0
100,307591.0,267951.0,575542.0
101,1146.0,2720.0,3866.0
102,3364.0,6499.0,9863.0
105,1.0,4.0,5.0
106,5129.0,9164.0,14293.0
107,423817.0,415702.0,839519.0
108,2143.0,3215.0,5358.0
109,26.0,159.0,185.0
110,0.0,1.0,1.0
111,53.0,227.0,280.0
112,22517.0,55029.0,77546.0
113,314207.0,282388.0,596595.0
114,331657.0,233390.0,565047.0
115,153.0,275.0,428.0
116,33618.0,63289.0,96907.0
117,3270.0,4374.0,7644.0
118,102.0,455.0,557.0
119,4161.0,6098.0,10259.0
120,302.0,1573.0,1875.0
121,3249.0,7074.0,10323.0
122,2125.0,3102.0,5227.0
123,3367.0,6167.0,9534.0
124,2770.0,6489.0,9259.0
125,112270.0,119844.0,232114.0
126,3556.0,4633.0,8189.0
127,6426.0,26111.0,32537.0
128,428.0,2631.0,3059.0
129,20131.0,31634.0,51765.0
130,21567.0,23756.0,45323.0
131,3247.0,6073.0,9320.0
132,841308.0,183171.0,1024479.0
133,4390.0,7492.0,11882.0
134,5215.0,9004.0,14219.0
135,2726.0,7307.0,10033.0
136,2745.0,4162.0,6907.0
137,233710.0,278741.0,512451.0
138,591771.0,216861.0,808632.0
139,2353.0,5619.0,7972.0
140,420498.0,429472.0,849970.0
141,476146.0,545795.0,1021941.0
142,652092.0,575718.0,1227810.0
143,241565.0,315595.0,557160.0
144,241942.0,224218.0,466160.0
145,31528.0,52360.0,83888.0
146,16814.0,17639.0,34453.0
147,2879.0,3300.0,6179.0
148,262215.0,257959.0,520174.0
149,2492.0,4930.0,7422.0
150,1384.0,2834.0,4218.0
151,168235.0,185164.0,353399.0
152,23481.0,36656.0,60137.0
153,863.0,1326.0,2189.0
154,353.0,2026.0,2379.0
155,4917.0,8814.0,13731.0
156,54.0,241.0,295.0
157,9581.0,11934.0,21515.0
158,226873.0,233238.0,460111.0
159,6942.0,8199.0,15141.0
160,3878.0,8332.0,12210.0
161,988316.0,793546.0,1781862.0
162,700065.0,586021.0,1286086.0
163,582143.0,522119.0,1104262.0
164,469049.0,452264.0,921313.0
165,4498.0,8365.0,12863.0
166,117793.0,163412.0,281205.0
167,5242.0,5563.0,10805.0
168,14268.0,15942.0,30210.0
169,5238.0,6546.0,11784.0
170,590015.0,619322.0,1209337.0
171,1572.0,4845.0,6417.0
172,86.0,275.0,361.0
173,3528.0,6407.0,9935.0
174,3331.0,6065.0,9396.0
175,934.0,2998.0,3932.0
176,29.0,142.0,171.0
177,11523.0,12737.0,24260.0
178,1250.0,2581.0,3831.0
179,12991.0,21857.0,34848.0
180,3157.0,4984.0,8141.0
181,21105.0,60972.0,82077.0
182,5096.0,4786.0,9882.0
183,1073.0,1798.0,2871.0
184,200.0,374.0,574.0
185,2148.0,4444.0,6592.0
186,704662.0,467629.0,1172291.0
187,19.0,145.0,164.0
188,19452.0,27745.0,47197.0
189,8019.0,21308.0,29327.0
190,1574.0,3223.0,4797.0
191,4617.0,7940.0,12557.0
192,1286.0,3267.0,4553.0
193,7986.0,10663.0,18649.0
194,1016.0,3157.0,4173.0
195,6835.0,10411.0,17246.0
196,5609.0,9626.0,15235.0
197,14797.0,15209.0,30006.0
198,9475.0,19289.0,28764.0
199,8.0,0.0,8.0
200,1691.0,7381.0,9072.0
201,1074.0,2789.0,3863.0
202,1752.0,10353.0,12105.0
203,2064.0,5416.0,7480.0
204,7.0,78.0,85.0
205,6269.0,11276.0,17545.0
206,66.0,403.0,469.0
207,570.0,374.0,944.0
208,2861.0,5296.0,8157.0
209,44878.0,62173.0,107051.0
210,4010.0,6597.0,10607.0
211,187822.0,194560.0,382382.0
212,4115.0,3660.0,7775.0
213,6164.0,7137.0,13301.0
214,156.0,528.0,684.0
215,8267.0,9809.0,18076.0
216,14958.0,26544.0,41502.0
217,3451.0,8701.0,12152.0
218,4354.0,7834.0,12188.0
219,4673.0,10124.0,14797.0
220,3086.0,9143.0,12229.0
221,275.0,491.0,766.0
222,4084.0,4686.0,8770.0
223,10788.0,29250.0,40038.0
224,40815.0,88949.0,129764.0
225,18103.0,30367.0,48470.0
226,33469.0,36864.0,70333.0
227,3137.0,6860.0,9997.0
228,8832.0,16732.0,25564.0
229,348444.0,431539.0,779983.0
230,714213.0,655631.0,1369844.0
231,302204.0,364363.0,666567.0
232,47910.0,114475.0,162385.0
233,234766.0,315417.0,550183.0
234,600207.0,531212.0,1131419.0
235,4905.0,6254.0,11159.0
236,895438.0,941192.0,1836630.0
237,1002281.0,908487.0,1910768.0
238,398900.0,458468.0,857368.0
239,565513.0,575013.0,1140526.0
240,508.0,1084.0,1592.0
241,3616.0,5684.0,9300.0
242,3456.0,6032.0,9488.0
243,14303.0,57152.0,71455.0
244,35261.0,92787.0,128048.0
245,38.0,224.0,262.0
246,388668.0,434207.0,822875.0
247,9007.0,10461.0,19468.0
248,3592.0,3331.0,6923.0
249,498509.0,393511.0,892020.0
250,3704.0,3934.0,7638.0
251,65.0,254.0,319.0
252,1402.0,4889.0,6291.0
253,155.0,352.0,507.0
254,5533.0,6571.0,12104.0
255,35135.0,58361.0,93496.0
256,27742.0,50524.0,78266.0
257,2497.0,9962.0,12459.0
258,6932.0,9893.0,16825.0
259,3219.0,3905.0,7124.0
260,14072.0,17919.0,31991.0
261,107376.0,111523.0,218899.0
262,288680.0,316252.0,604932.0
263,394323.0,432855.0,827178.0
