shapley_rank,zone_id,zone_name,borough,shapley_value,shapley_standard_error,ci_lower,ci_upper,start_zone,start_time,value_unit,competition_scenario,method,num_permutations,candidate_zone_count,baseline_value,full_coalition_value,state_coverage_count,discovery_sources,singleton_value,singleton_gain_over_wait_only,pair_synergy_with_best_anchor,reposition_time_from_start,reposition_distance_from_start,selection_reason,selected_player_order
1,186,Penn Station/Madison Sq West,Manhattan,0.5721152373605973,0.0,0.5721152373605973,0.5721152373605973,132,08:00,USD_per_2h,medium,exact,3628800,10,101.98553634765801,102.98494959144001,61,dynamic_depth_1|dynamic_depth_2|passenger_reachable,102.55766596258488,0.5721296149268653,0.0,73.29275659246943,12.8840465449518,singleton_gain,1.0
2,93,Flushing Meadows-Corona Park,Queens,0.17876899645992778,0.0,0.17876899645992778,0.17876899645992778,132,08:00,USD_per_2h,medium,exact,3628800,10,101.98553634765801,102.98494959144001,87,dynamic_depth_1|dynamic_depth_2|passenger_reachable,102.34118811690489,0.3556517692468759,-3.8789938798799994e-06,54.114669931501425,11.298168045517139,singleton_gain|multi_state_coverage,2.0
3,216,South Ozone Park,Queens,0.10200619751802438,0.0,0.10200619751802438,0.10200619751802438,132,08:00,USD_per_2h,medium,exact,3628800,10,101.98553634765801,102.98494959144001,95,dynamic_depth_0|dynamic_depth_1|dynamic_depth_2|passenger_reachable,102.26032612997857,0.2747897823205534,-1.9352933321670207e-05,14.6548408162175,4.269912524182017,singleton_gain|multi_state_coverage,4.0
4,134,Kew Gardens,Queens,0.09681930604079071,0.0,0.09681930604079071,0.09681930604079071,132,08:00,USD_per_2h,medium,exact,3628800,10,101.98553634765801,102.98494959144001,60,dynamic_depth_0|dynamic_depth_1|dynamic_depth_2|passenger_reachable,102.2651368948796,0.279600547221591,-1.6172592751217962e-05,37.74232414147284,7.600310902659997,singleton_gain,3.0
5,138,LaGuardia Airport,Queens,0.02995373737292987,0.0,0.02995373737292987,0.02995373737292987,132,08:00,USD_per_2h,medium,exact,3628800,10,101.98553634765801,102.98494959144001,106,dynamic_depth_1|dynamic_depth_2|passenger_reachable,102.06552345760568,0.07998710994766611,-1.7655538584904207e-05,63.33903051058565,14.051968045517139,multi_state_coverage,5.0
6,28,Briarwood/Jamaica Hills,Queens,0.018058643376998938,0.0,0.018058643376998938,0.018058643376998938,132,08:00,USD_per_2h,medium,exact,3628800,10,101.98553634765801,102.98494959144001,22,dynamic_depth_1|dynamic_depth_2|passenger_reachable,102.05750583133171,0.07196948367369771,8.946692005906698e-06,39.24797531603665,7.9228949672616125,pair_synergy,7.0
7,219,Springfield Gardens South,Queens,0.001647151083846445,0.0,0.001647151083846445,0.001647151083846445,132,08:00,USD_per_2h,medium,exact,3628800,10,101.98553634765801,102.98494959144001,48,dynamic_depth_0|dynamic_depth_1|dynamic_depth_2|passenger_reachable,101.98782373594494,0.002287388286930536,4.263256414560601e-14,12.652363432177212,4.224411148703077,pair_synergy,8.0
8,237,Upper East Side South,Manhattan,4.397456888623551e-05,0.0,4.397456888623551e-05,4.397456888623551e-05,132,08:00,USD_per_2h,medium,exact,3628800,10,101.98553634765801,102.98494959144001,94,dynamic_depth_1|dynamic_depth_2|passenger_reachable,101.98563690724333,0.00010055958532007025,-3.172878342638796e-05,71.70506358081963,12.604947878013506,multi_state_coverage,6.0
9,130,Jamaica,Queens,0.0,0.0,0.0,0.0,132,08:00,USD_per_2h,medium,exact,3628800,10,101.98553634765801,102.98494959144001,68,dynamic_depth_1|dynamic_depth_2|passenger_reachable,101.98553634765801,0.0,0.0,30.352181780981482,6.691632954289544,pair_synergy,9.0
10,161,Midtown Center,Manhattan,0.0,0.0,0.0,0.0,132,08:00,USD_per_2h,medium,exact,3628800,10,101.98553634765801,102.98494959144001,68,dynamic_depth_1|dynamic_depth_2|passenger_reachable,101.98553634765801,0.0,0.0,71.84101445555841,12.628846520654292,pair_synergy,10.0
