zone_id,elapsed_minutes,clock_minutes,wait_only,highest_demand,highest_income,greedy_net_earnings,finite_horizon_value_iteration,q_learning,dqn
1,0,480.0,WAIT,23,WAIT,WAIT,WAIT,WAIT,WAIT
2,0,480.0,WAIT,132,132,WAIT,132,WAIT,132
3,0,480.0,WAIT,138,138,199,WAIT,199,WAIT
4,0,480.0,WAIT,186,93,WAIT,207,WAIT,WAIT
5,0,480.0,WAIT,187,110,WAIT,204,WAIT,WAIT
6,0,480.0,WAIT,44,110,WAIT,WAIT,WAIT,WAIT
7,0,480.0,WAIT,186,93,WAIT,WAIT,WAIT,138
8,0,480.0,WAIT,186,93,WAIT,WAIT,WAIT,138
9,0,480.0,WAIT,138,93,93,93,93,192
10,0,480.0,WAIT,132,132,WAIT,WAIT,197,WAIT
11,0,480.0,WAIT,110,110,WAIT,206,WAIT,14
12,0,480.0,WAIT,186,105,195,195,195,54
13,0,480.0,WAIT,186,105,195,195,195,WAIT
14,0,480.0,WAIT,79,110,245,245,245,228
15,0,480.0,WAIT,138,93,WAIT,WAIT,WAIT,16
16,0,480.0,WAIT,138,93,93,9,93,WAIT
17,0,480.0,WAIT,186,226,WAIT,WAIT,WAIT,WAIT
18,0,480.0,WAIT,138,138,WAIT,WAIT,WAIT,174
19,0,480.0,WAIT,138,93,WAIT,WAIT,WAIT,WAIT
20,0,480.0,WAIT,138,138,199,WAIT,199,WAIT
21,0,480.0,WAIT,89,206,WAIT,WAIT,WAIT,WAIT
22,0,480.0,WAIT,89,206,WAIT,WAIT,WAIT,WAIT
23,0,480.0,WAIT,44,1,WAIT,99,WAIT,WAIT
24,0,480.0,WAIT,236,93,WAIT,WAIT,WAIT,151
25,0,480.0,WAIT,186,105,105,105,105,WAIT
26,0,480.0,WAIT,79,195,111,206,111,WAIT
27,0,480.0,WAIT,WAIT,201,WAIT,WAIT,WAIT,WAIT
28,0,480.0,WAIT,132,132,93,93,93,WAIT
29,0,480.0,WAIT,89,154,WAIT,WAIT,WAIT,WAIT
30,0,480.0,WAIT,132,132,WAIT,WAIT,WAIT,132
31,0,480.0,WAIT,138,138,WAIT,WAIT,WAIT,78
32,0,480.0,WAIT,138,138,199,WAIT,199,WAIT
33,0,480.0,WAIT,186,105,WAIT,105,WAIT,WAIT
34,0,480.0,WAIT,186,195,WAIT,WAIT,WAIT,232
35,0,480.0,WAIT,186,132,WAIT,132,WAIT,WAIT
36,0,480.0,WAIT,186,207,WAIT,198,WAIT,WAIT
37,0,480.0,WAIT,186,132,132,132,132,WAIT
38,0,480.0,WAIT,132,132,132,132,132,WAIT
39,0,480.0,WAIT,79,132,WAIT,132,WAIT,WAIT
40,0,480.0,WAIT,186,105,195,195,195,WAIT
41,0,480.0,WAIT,236,93,WAIT,8,WAIT,WAIT
42,0,480.0,WAIT,239,93,199,207,199,WAIT
43,0,480.0,WAIT,186,93,WAIT,207,WAIT,WAIT
44,0,480.0,WAIT,176,110,WAIT,204,WAIT,WAIT
45,0,480.0,WAIT,186,138,195,195,195,66
46,0,480.0,WAIT,138,138,WAIT,WAIT,WAIT,208
47,0,480.0,WAIT,138,93,199,WAIT,199,WAIT
48,0,480.0,WAIT,186,138,WAIT,207,WAIT,WAIT
49,0,480.0,WAIT,186,195,WAIT,WAIT,WAIT,WAIT
50,0,480.0,WAIT,186,138,207,207,207,WAIT
51,0,480.0,WAIT,138,138,WAIT,WAIT,WAIT,WAIT
52,0,480.0,WAIT,186,105,WAIT,54,WAIT,WAIT
53,0,480.0,WAIT,262,132,253,93,253,138
54,0,480.0,WAIT,186,105,195,195,195,WAIT
55,0,480.0,WAIT,110,110,WAIT,WAIT,WAIT,WAIT
56,0,480.0,WAIT,186,93,93,93,93,WAIT
57,0,480.0,WAIT,186,132,93,253,93,138
58,0,480.0,WAIT,138,93,WAIT,WAIT,WAIT,208
59,0,480.0,WAIT,138,93,199,199,199,60
60,0,480.0,WAIT,138,93,199,WAIT,199,WAIT
61,0,480.0,WAIT,186,34,WAIT,WAIT,WAIT,189
62,0,480.0,WAIT,186,195,WAIT,WAIT,WAIT,WAIT
63,0,480.0,WAIT,186,132,132,132,132,132
64,0,480.0,WAIT,138,93,WAIT,WAIT,WAIT,175
65,0,480.0,WAIT,186,105,105,105,105,WAIT
66,0,480.0,WAIT,186,206,WAIT,WAIT,WAIT,WAIT
67,0,480.0,WAIT,79,110,110,206,110,14
68,0,480.0,WAIT,186,138,207,207,207,WAIT
69,0,480.0,WAIT,138,93,199,207,199,247
70,0,480.0,WAIT,186,93,WAIT,93,WAIT,138
71,0,480.0,WAIT,186,111,WAIT,WAIT,WAIT,WAIT
