zone_id,route_minutes,route_miles,demand,net_trip,net_rate,competition_advantage,proximity,passenger_destination_probability,confidence,rank_demand,rank_net_trip,rank_net_rate,rank_competition_advantage,rank_proximity,rank_passenger_destination_probability,rank_sum,selected,selected_rank
76,30.365072204256254,8.169350176566283,2.164912777754172,19.256250369336477,0.6249066801552521,0.6844298162234137,0.03293257441554282,0.0,0.972152147179675,1.0,15.0,17.0,3.0,14.0,3.0,53.0,True,1
197,25.725876174073072,5.943196474799301,1.3053066822198822,20.223952719520145,0.8324306469079313,0.636359083140929,0.03887136800447696,0.0,0.9533974100600469,2.0,13.0,6.0,5.0,9.0,3.0,38.0,True,2
216,14.6548408162175,4.269912524182017,1.1906091824207448,26.40860855630128,0.9745834115221887,0.44779807690845225,0.06823683808925232,0.0324528715296183,0.9490535539778014,3.0,6.0,2.0,16.0,2.0,1.0,30.0,True,3
2,25.787281558143825,8.659310344827587,1.1002303127542292,52.96480207124033,0.9897211451710182,1.6247178239331348,0.038778806433910136,0.0,0.05,4.0,1.0,1.0,1.0,10.0,3.0,20.0,True,4
134,37.74232414147284,7.600310902659997,0.4966286525895791,32.81336504442133,0.9406733690089893,0.28834950525998826,0.02649545365175745,0.0,0.8361118710218464,15.0,2.0,3.0,21.0,18.0,3.0,62.0,True,5
30,30.345626202809992,9.686388525549084,0.9674024938240919,32.495469472063725,0.9351868593464414,1.4265966437495279,0.03295367817808948,0.0,0.14285714285714285,5.0,3.0,4.0,2.0,12.0,3.0,29.0,True,6
86,44.071141669392325,12.778997477655766,0.6255723691205676,28.910729909126232,0.7831964197294017,0.47856850794729916,0.022690585315481085,0.0,0.8606614922474857,12.0,4.0,7.0,13.0,22.0,3.0,61.0,True,7
258,33.618600686945626,7.4352483410131605,0.7846545546568978,18.38621652726376,0.6705548174380466,0.646651153375175,0.029745437929196976,0.0,0.9206074590326092,8.0,17.0,10.0,4.0,17.0,3.0,59.0,True,8
219,12.652363432177212,4.224411148703077,0.6392275002956306,23.78171049268046,0.7597532016861551,0.45092536855480203,0.07903661678393002,0.0,0.8659384163772399,11.0,8.0,8.0,14.0,1.0,3.0,45.0,True,9
203,17.273013361565027,6.110273873873873,0.4347087444353102,21.351700829623866,0.630632707326109,0.5227850647667021,0.057893777945262626,0.0,0.7637910791347163,22.0,11.0,15.0,10.0,3.0,3.0,64.0,True,10
124,17.353308627293693,5.708274907749078,0.4696651448061993,18.787636402839617,0.634069577816915,0.4354405297742337,0.05762589840805208,0.0,0.7545543549410858,17.0,16.0,14.0,18.0,4.0,3.0,72.0,True,11
10,23.310259870590304,6.44292178700095,0.9422401965536265,26.475899587288904,0.8434051458613732,0.5192894187394632,0.04289956463598517,0.030955832111585518,0.9350596341190033,6.0,5.0,5.0,12.0,7.0,2.0,37.0,True,12
