zone_id,borough,zone_name,service_zone,centroid_x,centroid_y,area
1,EWR,Newark Airport,EWR,935996.8210162065,191376.74953083202,79039526.6992143
2,Queens,Jamaica Bay,Boro Zone,1031085.7186032863,164018.75440320186,143909531.69680512
3,Bronx,Allerton/Pelham Gardens,Boro Zone,1026452.6168734727,254265.47865856893,31685084.722049594
4,Manhattan,Alphabet City,Yellow Zone,990633.9806410479,202959.7823911368,8023733.019955133
5,Staten Island,Arden Heights,Boro Zone,931871.3700680139,140681.35137597343,50414884.76735331
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,964319.735448061,157998.9356119239,40934792.09258352
7,Queens,Astoria,Boro Zone,1006496.6791586807,216719.21816867893,39341043.986175336
8,Queens,Astoria Park,Boro Zone,1005551.5711778702,222936.08755158543,2682801.558287652
9,Queens,Auburndale,Boro Zone,1043002.6774243254,212969.8490136597,34164217.96628959
10,Queens,Baisley Park,Boro Zone,1042223.6050722591,186706.49646915717,44041425.36286887
11,Brooklyn,Bath Beach,Boro Zone,982170.7832338787,159429.3168836981,20535743.772917036
12,Manhattan,Battery Park,Yellow Zone,979934.7305677243,195378.9728508775,1089567.142383053
13,Manhattan,Battery Park City,Yellow Zone,979792.331028984,198691.52543753176,4922916.440479033
14,Brooklyn,Bay Ridge,Boro Zone,975952.0350819234,166921.55042206828,67118941.99409573
15,Queens,Bay Terrace/Fort Totten,Boro Zone,1043521.3830455702,224738.6129755755,46295763.22370654
16,Queens,Bayside,Boro Zone,1047016.784330188,217243.7604961802,80796947.46396461
17,Brooklyn,Bedford,Boro Zone,998142.2060786379,191215.0683591191,32629833.641303483
18,Bronx,Bedford Park,Boro Zone,1014623.3272763422,255416.74215301158,14999657.658820206
19,Queens,Bellerose,Boro Zone,1060002.7496102,207352.35251648712,55195481.44740739
20,Bronx,Belmont,Boro Zone,1015821.8614530906,251810.303512513,13556856.618540464
21,Brooklyn,Bensonhurst East,Boro Zone,988821.3915776814,158393.65778602433,35777232.60010483
22,Brooklyn,Bensonhurst West,Boro Zone,985566.4176542887,162323.8287235864,46668757.169960044
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,936800.3814228631,160268.1237133335,211512496.378488
24,Manhattan,Bloomingdale,Yellow Zone,993807.2716583572,231458.3760559646,4230118.739452096
25,Brooklyn,Boerum Hill,Boro Zone,988101.2213261976,189071.57913936634,12546359.069359673
26,Brooklyn,Borough Park,Boro Zone,987397.4626662626,169148.40746897226,54005019.11895779
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,1010116.0525911167,142998.097106859,73092914.36603563
28,Queens,Briarwood/Jamaica Hills,Boro Zone,1037276.450260145,198588.18036389697,29412826.442832477
29,Brooklyn,Brighton Beach,Boro Zone,995023.0950078965,150924.27687794657,17181075.436115935
30,Queens,Broad Channel,Boro Zone,1033697.3819386285,159266.0868838442,14756360.325047841
31,Bronx,Bronx Park,Boro Zone,1018696.4006329516,251801.91339506747,33659775.767376676
32,Bronx,Bronxdale,Boro Zone,1021618.2183901309,254085.68414675994,15204948.251815196
33,Brooklyn,Brooklyn Heights,Boro Zone,985567.1393607879,192774.49236567307,11017800.759540867
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,992238.7448684232,194618.42574558523,11192812.838980518
35,Brooklyn,Brownsville,Boro Zone,1009147.2314989058,181203.32110491273,32730871.007436447
36,Brooklyn,Bushwick North,Boro Zone,1007067.3784547453,194506.2645740725,25019447.213806424
37,Brooklyn,Bushwick South,Boro Zone,1005813.8376355437,192491.0725491703,45671565.952530965
38,Queens,Cambria Heights,Boro Zone,1057581.8857305443,192354.37534157524,33076512.31755539
39,Brooklyn,Canarsie,Boro Zone,1012077.4831532118,171746.3489405953,82069259.65978687
40,Brooklyn,Carroll Gardens,Boro Zone,985371.6110268093,186726.9441730333,11009638.364660673
41,Manhattan,Central Harlem,Boro Zone,997734.6452331402,232321.2905475168,14433091.695048453
42,Manhattan,Central Harlem North,Boro Zone,1000643.632259087,237395.8715478042,25401215.571184408
43,Manhattan,Central Park,Yellow Zone,993789.0096985319,224356.21221165065,38307176.129050195
44,Staten Island,Charleston/Tottenville,Boro Zone,919325.6707014753,130813.71730920512,145814718.1643353
45,Manhattan,Chinatown,Yellow Zone,984762.4692829204,198844.63611660182,7450336.470292397
46,Bronx,City Island,Boro Zone,1044565.4049743082,248697.32700109523,17352035.396625176
47,Bronx,Claremont/Bathgate,Boro Zone,1011831.0101993148,246329.04426500178,16451591.38915591
48,Manhattan,Clinton East,Yellow Zone,987063.1857021254,216986.07003374878,9512871.478483802
49,Brooklyn,Clinton Hill,Boro Zone,994687.7989075348,189923.67993134004,20529807.793920774
50,Manhattan,Clinton West,Yellow Zone,985597.5343919232,218437.82028573466,8868555.090206767
51,Bronx,Co-Op City,Boro Zone,1031744.9710915012,257736.0317728284,39876706.61028527
52,Brooklyn,Cobble Hill,Boro Zone,985158.534254694,189441.98718140792,4567364.464888411
53,Queens,College Point,Boro Zone,1027782.0265390344,223823.08273507966,50616171.08127094
54,Brooklyn,Columbia Street,Boro Zone,983442.5831941621,189642.16029755108,6213454.976435385
55,Brooklyn,Coney Island,Boro Zone,987599.1763107228,149479.23529518777,47477217.557842866
56,Queens,Corona,Boro Zone,1023365.172611275,209422.59485546063,18264365.579350106
57,Queens,Corona,Boro Zone,1024817.4538048006,213218.63492433997,1819609.0363074085
58,Bronx,Country Club,Boro Zone,1033945.7966954281,245891.95429244667,13303673.525735665
59,Bronx,Crotona Park,Boro Zone,1013307.8668851721,244801.2399171087,6338822.233478144
60,Bronx,Crotona Park East,Boro Zone,1015824.0717104394,243143.05780958594,16316129.854729848
61,Brooklyn,Crown Heights North,Boro Zone,1001091.0141538235,185009.74769500326,51618635.16828606
62,Brooklyn,Crown Heights South,Boro Zone,998457.1474750465,182119.2885742171,15993439.626094885
63,Brooklyn,Cypress Hills,Boro Zone,1018038.508018096,188441.23189381982,35688541.69058471
64,Queens,Douglaston,Boro Zone,1056461.1692268404,216496.53369807045,94785729.04373889
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,988108.3766447257,192606.94834778874,8264536.35969139
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,988214.5459807585,195128.66351404483,7669160.164758404
67,Brooklyn,Dyker Heights,Boro Zone,980418.277887647,165020.58539900745,39878699.227609895
68,Manhattan,East Chelsea,Yellow Zone,984272.7786326221,211948.91240008172,11212740.372394182
69,Bronx,East Concourse/Concourse Village,Boro Zone,1007764.085658132,242196.03761468016,20069273.66852133
70,Queens,East Elmhurst,Boro Zone,1020706.745137329,217413.87058175215,19726946.865242876
71,Brooklyn,East Flatbush/Farragut,Boro Zone,1001465.1562155226,174013.8443005886,38680153.413747504
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,1005823.7039946363,176959.91492476902,32706946.901540563
73,Queens,East Flushing,Boro Zone,1037640.2378106113,214077.6206734465,29454380.830762308
74,Manhattan,East Harlem North,Boro Zone,1001596.4822018787,231170.7231356336,24497527.7530612
75,Manhattan,East Harlem South,Boro Zone,999272.1113831651,227103.7596245498,16651203.548252013
76,Brooklyn,East New York,Boro Zone,1018425.395770319,180096.55428265326,117150572.0528022
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,1013278.1286526012,182139.0472945757,19397517.07301945
78,Bronx,East Tremont,Boro Zone,1015923.6509313948,247139.97024585522,19265136.849393677
79,Manhattan,East Village,Yellow Zone,988147.6579909977,204368.5018753222,10895063.419956302
80,Brooklyn,East Williamsburg,Boro Zone,1001771.8842984998,199911.28634464616,39166050.81671288
81,Bronx,Eastchester,Boro Zone,1029422.4201378655,260268.37646953634,40256448.03559383
82,Queens,Elmhurst,Boro Zone,1018302.534288022,208718.58925015814,32671521.420201957
83,Queens,Elmhurst/Maspeth,Boro Zone,1014131.0479577216,208286.3127456639,21956022.63251699
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,932076.4501930304,131946.88658336038,140862090.79656002
85,Brooklyn,Erasmus,Boro Zone,997674.78128442,174677.62359658885,14522165.916722812
86,Queens,Far Rockaway,Boro Zone,1052215.5705983127,158853.81499105782,54316299.287827805
87,Manhattan,Financial District North,Yellow Zone,982171.727891981,196785.94084490498,4182716.8385355086
88,Manhattan,Financial District South,Yellow Zone,981057.2642958593,195528.92479920073,2621586.361983889
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,995082.8902422966,171682.828384498,45253836.296228275
90,Manhattan,Flatiron,Yellow Zone,985089.2186553577,209708.74184834195,5584323.850991554
91,Brooklyn,Flatlands,Boro Zone,1003654.1440255485,167452.06576771155,54341521.86908527
92,Queens,Flushing,Boro Zone,1031660.7208707302,216612.8159510848,37843336.9811667
93,Queens,Flushing Meadows-Corona Park,Boro Zone,1028348.080639231,209164.12047047325,54770228.94910867
94,Bronx,Fordham South,Boro Zone,1012040.665243386,251942.57172494626,6307283.533786809
95,Queens,Forest Hills,Boro Zone,1026474.8421587804,202150.22155636095,57843767.6370688
96,Queens,Forest Park/Highland Park,Boro Zone,1019865.1809046713,193239.00952966628,55318432.5914803
97,Brooklyn,Fort Greene,Boro Zone,991215.6982442432,190949.61806373845,16499500.810201744
98,Queens,Fresh Meadows,Boro Zone,1045981.3581738913,206939.6178548511,49048453.05609161
99,Staten Island,Freshkills Park,Boro Zone,932463.5770637904,149465.339574893,116225516.81094263
100,Manhattan,Garment District,Yellow Zone,987356.7624025445,213801.8903360138,3782271.7856891034
101,Queens,Glen Oaks,Boro Zone,1064321.6844356095,211194.12738601945,45665147.001575395
102,Queens,Glendale,Boro Zone,1018703.895664441,195621.72184014547,29960993.345459864
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,971690.5178691468,190614.3221264578,639620.2331307604
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,972944.834560436,193859.36077724295,1204254.9579302247
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,978960.5655138263,190219.67387671873,7732952.416888809
106,Brooklyn,Gowanus,Boro Zone,986844.2853590193,184655.37448370285,11482281.936924793
107,Manhattan,Gramercy,Yellow Zone,988669.5907152938,207721.84599820204,7533221.397476041
108,Brooklyn,Gravesend,Boro Zone,989407.3274538667,153648.26672411078,31337062.598230544
109,Staten Island,Great Kills,Boro Zone,942318.0695212188,140370.83697271615,89598176.26223636
110,Staten Island,Great Kills Park,Boro Zone,948580.6069577679,138144.9262860037,23397177.94222166
111,Brooklyn,Green-Wood Cemetery,Boro Zone,986959.7652887183,176867.70260620638,21096525.841185313
112,Brooklyn,Greenpoint,Boro Zone,998235.3938487581,205059.36264106684,35375718.88928038
113,Manhattan,Greenwich Village North,Yellow Zone,985828.421266087,206174.92383447656,5852730.83075177
114,Manhattan,Greenwich Village South,Yellow Zone,984976.1217439739,204630.6079875288,4748116.2083848445
115,Staten Island,Grymes Hill/Clifton,Boro Zone,959864.0081423334,164432.11292961225,37744183.29775539
116,Manhattan,Hamilton Heights,Boro Zone,998496.7141201992,240584.4096847475,16093998.066844339
117,Queens,Hammels/Arverne,Boro Zone,1042676.051909837,155778.33770686,61915726.34571673
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,947313.2115533687,153002.19989383093,184872156.28682882
119,Bronx,Highbridge,Boro Zone,1004682.7553744144,244528.83953167713,16460938.853881186
120,Manhattan,Highbridge Park,Boro Zone,1003566.2603626965,247748.72753217374,7799626.889225167
