zone_id,zone_name,borough,state_coverage_count,discovery_sources,singleton_value,singleton_gain_over_wait_only,reposition_time_from_start,reposition_distance_from_start,pair_synergy_with_best_anchor,rank_singleton,rank_coverage,rank_synergy,selection_rank_sum,selected_as_shapley_player,selection_reason,selected_player_order
186,Penn Station/Madison Sq West,Manhattan,61,dynamic_depth_1|dynamic_depth_2|passenger_reachable,102.55766596258488,0.5721296149268653,73.29275659246943,12.8840465449518,0.0,1.0,13.0,3.0,17.0,True,singleton_gain,1.0
93,Flushing Meadows-Corona Park,Queens,87,dynamic_depth_1|dynamic_depth_2|passenger_reachable,102.34118811690489,0.3556517692468759,54.114669931501425,11.298168045517139,-3.8789938798799994e-06,2.0,4.0,22.0,28.0,True,singleton_gain|multi_state_coverage,2.0
134,Kew Gardens,Queens,60,dynamic_depth_0|dynamic_depth_1|dynamic_depth_2|passenger_reachable,102.2651368948796,0.279600547221591,37.74232414147284,7.600310902659997,-1.6172592751217962e-05,3.0,14.0,30.0,47.0,True,singleton_gain,3.0
216,South Ozone Park,Queens,95,dynamic_depth_0|dynamic_depth_1|dynamic_depth_2|passenger_reachable,102.26032612997857,0.2747897823205534,14.6548408162175,4.269912524182017,-1.9352933321670207e-05,4.0,2.0,33.0,39.0,True,singleton_gain|multi_state_coverage,4.0
138,LaGuardia Airport,Queens,106,dynamic_depth_1|dynamic_depth_2|passenger_reachable,102.06552345760568,0.07998710994766611,63.33903051058565,14.051968045517139,-1.7655538584904207e-05,12.0,1.0,32.0,45.0,True,multi_state_coverage,5.0
237,Upper East Side South,Manhattan,94,dynamic_depth_1|dynamic_depth_2|passenger_reachable,101.98563690724333,0.00010055958532007025,71.70506358081963,12.604947878013506,-3.172878342638796e-05,21.0,3.0,37.0,61.0,True,multi_state_coverage,6.0
28,Briarwood/Jamaica Hills,Queens,22,dynamic_depth_1|dynamic_depth_2|passenger_reachable,102.05750583133171,0.07196948367369771,39.24797531603665,7.9228949672616125,8.946692005906698e-06,13.0,29.0,1.0,43.0,True,pair_synergy,7.0
219,Springfield Gardens South,Queens,48,dynamic_depth_0|dynamic_depth_1|dynamic_depth_2|passenger_reachable,101.98782373594494,0.002287388286930536,12.652363432177212,4.224411148703077,4.263256414560601e-14,20.0,17.0,2.0,39.0,True,pair_synergy,8.0
130,Jamaica,Queens,68,dynamic_depth_1|dynamic_depth_2|passenger_reachable,101.98553634765801,0.0,30.352181780981482,6.691632954289544,0.0,26.0,10.0,3.0,39.0,True,pair_synergy,9.0
161,Midtown Center,Manhattan,68,dynamic_depth_1|dynamic_depth_2|passenger_reachable,101.98553634765801,0.0,71.84101445555841,12.628846520654292,0.0,26.0,10.0,3.0,39.0,True,pair_synergy,10.0
76,East New York,Brooklyn,63,dynamic_depth_0|dynamic_depth_1|dynamic_depth_2|passenger_reachable,101.98553634765801,0.0,30.365072204256254,8.169350176566283,0.0,26.0,12.0,3.0,41.0,False,,
197,Richmond Hill,Queens,71,dynamic_depth_0|dynamic_depth_1|dynamic_depth_2|passenger_reachable,102.21331652622628,0.22778017856826693,25.725876174073072,5.943196474799301,-1.1191457318204812e-05,5.0,9.0,28.0,42.0,False,,
70,East Elmhurst,Queens,85,dynamic_depth_1|dynamic_depth_2,102.16348468720858,0.17794833955056788,64.01400176501926,13.68296804551714,-2.1958719386816483e-05,6.0,5.0,35.0,46.0,False,,
203,Rosedale,Queens,45,dynamic_depth_0|dynamic_depth_1|dynamic_depth_2|passenger_reachable,101.98553634765801,0.0,17.273013361565027,6.110273873873873,0.0,26.0,18.0,3.0,47.0,False,,
199,Rikers Island,Bronx,75,dynamic_depth_1|dynamic_depth_2,102.03624245377829,0.050706106120273375,68.88459277547541,15.30148436034109,-1.050419560044702e-05,15.0,7.0,26.0,48.0,False,,
96,Forest Park/Highland Park,Queens,49,dynamic_depth_1|dynamic_depth_2|passenger_reachable,102.15018438831423,0.16464804065621763,37.5344560595602,8.0331964747993,-1.1057277916393105e-05,7.0,16.0,27.0,50.0,False,,
218,Springfield Gardens North,Queens,40,dynamic_depth_0|dynamic_depth_1|dynamic_depth_2|passenger_reachable,101.98553634765801,0.0,21.120443258611957,5.585308584600513,0.0,26.0,21.0,3.0,50.0,False,,
2,Jamaica Bay,Queens,38,dynamic_depth_0|dynamic_depth_1|dynamic_depth_2,101.98553634765801,0.0,25.787281558143825,8.659310344827587,0.0,26.0,22.0,3.0,51.0,False,,
30,Broad Channel,Queens,28,dynamic_depth_0|dynamic_depth_1|dynamic_depth_2|passenger_reachable,101.98553634765801,0.0,30.345626202809992,9.686388525549084,0.0,26.0,25.0,3.0,54.0,False,,
