coalition_mask,coalition_size,coalition_zone_ids,coalition_value,base_allowed_zone_ids
0,0,,101.98553634765801,
1,1,186,102.55766596258488,
2,1,93,102.34118811690489,
3,2,186|93,102.91331385283787,
4,1,134,102.2651368948796,
5,2,186|134,102.83725033721372,
6,2,93|134,102.39561306948849,
7,3,186|93|134,102.96773880542148,
8,1,216,102.26032612997857,
9,2,186|216,102.83243639197211,
10,2,93|216,102.40608417990755,
11,3,186|93|216,102.9782099130553,
12,2,134|216,102.29850534856688,
13,3,186|134|216,102.87061097905652,
14,3,93|134|216,102.40693189487584,
15,4,186|93|134|216,102.97905763080884,
16,1,138,102.06552345760568,
17,2,186|138,102.63763541699396,
18,2,93|138,102.34593428514789,
19,3,186|93|138,102.918059982869,
20,2,134|138,102.2934570522391,
21,3,186|134|138,102.86556664941673,
22,3,93|134|138,102.40037417761829,
23,4,186|93|134|138,102.9724977157926,
24,2,216|138,102.30583667945486,
25,3,186|216|138,102.87793840277902,
26,3,93|216|138,102.41083023620072,
27,4,186|93|216|138,102.98295593113654,
28,3,134|216|138,102.32612406303024,
29,4,186|134|216|138,102.89822587971629,
30,4,93|134|216|138,102.41168361434615,
31,5,186|93|134|216|138,102.98380715252044,
32,1,237,101.98563690724333,
33,2,186|237,102.55773479338677,
34,2,93|237,102.34122268533447,
35,3,186|93|237,102.91333842613025,
36,2,134|237,102.26518984152834,
37,3,186|134|237,102.83728770672127,
38,3,93|134|237,102.3956472957858,
39,4,186|93|134|237,102.96776303658159,
40,2,216|237,102.26037526417235,
41,3,186|216|237,102.83247277967246,
42,3,93|216|237,102.40611805133034,
43,4,186|93|216|237,102.97823379212612,
44,3,134|216|237,102.29853556896748,
45,4,186|134|216|237,102.87063315361848,
46,4,93|134|216|237,102.40696593267919,
47,5,186|93|134|216|237,102.979081673475,
48,2,138|237,102.06557051193627,
49,3,186|138|237,102.63766836113032,
50,3,93|138|237,102.34596845803019,
51,4,186|93|138|237,102.91808420023908,
52,3,134|138|237,102.29349263527503,
53,4,186|134|138|237,102.8655904851378,
54,4,93|134|138|237,102.40040714802124,
55,5,186|93|134|138|237,102.97252047671698,
56,3,216|138|237,102.30585200224232,
57,4,186|216|138|237,102.87794957089606,
58,4,93|216|138|237,102.41086371207622,
59,5,186|93|216|138|237,102.98297945428509,
60,4,134|216|138|237,102.32613706749176,
61,5,186|134|216|138|237,102.89823463681427,
62,5,93|134|216|138|237,102.41171639624912,
63,6,186|93|134|216|138|237,102.98382972494485,
64,1,28,102.05750583133171,
65,2,186|28,102.62964439295058,
66,2,93|28,102.35226847706878,
67,3,186|93|28,102.92439421300178,
68,2,134|28,102.2651368948796,
69,3,186|134|28,102.83725033721372,
70,3,93|134|28,102.39561306948849,
71,4,186|93|134|28,102.96773880542148,
72,2,216|28,102.26032612997857,
73,3,186|216|28,102.83243639197211,
74,3,93|216|28,102.40608417990755,
75,4,186|93|216|28,102.9782099130553,
76,3,134|216|28,102.29850534856688,
77,4,186|134|216|28,102.87061097905652,
78,4,93|134|216|28,102.40693189487584,
79,5,186|93|134|216|28,102.97905763080884,
80,2,138|28,102.12037374226459,
81,3,186|138|28,102.69248834699033,
