zone,time_bin,minutes_elapsed,best_action_zone,best_action_name,value,immediate_reward,action_travel_time_min,action_distance_miles
2,0,0.0,132,JFK Airport,5.2261272312223275,0.7937777255617947,15.726240484556884,3.145248096911377
2,1,15.0,132,JFK Airport,4.542491652763638,0.7937777255617947,15.726240484556884,3.145248096911377
2,2,30.0,132,JFK Airport,3.8377127058990093,0.7937777255617947,15.726240484556884,3.145248096911377
2,3,45.0,132,JFK Airport,3.1111364720179493,0.7937777255617947,15.726240484556884,3.145248096911377
2,4,60.0,132,JFK Airport,2.362088808223042,0.7937777255617947,15.726240484556884,3.145248096911377
2,5,75.0,2,Jamaica Bay,1.7043555543663231,0.4860355798909799,15.0,0.0
2,6,90.0,2,Jamaica Bay,1.2559999736859209,0.4860355798909799,15.0,0.0
2,7,105.0,132,JFK Airport,0.7937777255617947,0.7937777255617947,15.726240484556884,3.145248096911377
8,0,0.0,8,Astoria Park,2.0484241769625124,0.28416572619036284,15.0,0.0
8,1,15.0,8,Astoria Park,1.8188231451259274,0.28416572619036284,15.0,0.0
8,2,30.0,8,Astoria Park,1.5821210504490355,0.28416572619036284,15.0,0.0
8,3,45.0,8,Astoria Park,1.3380982724316213,0.28416572619036284,15.0,0.0
8,4,60.0,8,Astoria Park,1.0865283981868643,0.28416572619036284,15.0,0.0
8,5,75.0,8,Astoria Park,0.8271780123675272,0.28416572619036284,15.0,0.0
8,6,90.0,8,Astoria Park,0.5598064805950148,0.28416572619036284,15.0,0.0
8,7,105.0,8,Astoria Park,0.28416572619036284,0.28416572619036284,15.0,0.0
10,0,0.0,10,Baisley Park,2.4912929608966685,0.3456022836226742,15.0,0.0
10,1,15.0,10,Baisley Park,2.2120522446123654,0.3456022836226742,15.0,0.0
10,2,30.0,10,Baisley Park,1.9241752175151456,0.3456022836226742,15.0,0.0
10,3,45.0,10,Baisley Park,1.6273947772087334,0.3456022836226742,15.0,0.0
10,4,60.0,10,Baisley Park,1.3214355603979993,0.3456022836226742,15.0,0.0
10,5,75.0,10,Baisley Park,1.0060136873972423,0.3456022836226742,15.0,0.0
10,6,90.0,10,Baisley Park,0.6808364987366682,0.3456022836226742,15.0,0.0
10,7,105.0,10,Baisley Park,0.3456022836226742,0.3456022836226742,15.0,0.0
19,0,0.0,19,Bellerose,1.240600449674676,0.17210113591641465,15.0,0.0
19,1,15.0,19,Bellerose,1.1015456842868676,0.17210113591641465,15.0,0.0
19,2,30.0,19,Bellerose,0.9581902560520134,0.17210113591641465,15.0,0.0
19,3,45.0,19,Bellerose,0.8104011547789678,0.17210113591641465,15.0,0.0
19,4,60.0,19,Bellerose,0.6580412565593332,0.17210113591641465,15.0,0.0
19,5,75.0,19,Bellerose,0.5009691965390913,0.17210113591641465,15.0,0.0
19,6,90.0,19,Bellerose,0.33903923775533684,0.17210113591641465,15.0,0.0
19,7,105.0,19,Bellerose,0.17210113591641465,0.17210113591641465,15.0,0.0
27,0,0.0,27,Breezy Point/Fort Tilden/Riis Beach,2.060645262330704,0.2858610848165417,15.0,0.0
