zone_id,zone_name,borough,service_zone,centroid_x,centroid_y,centroid_lon,centroid_lat,area_sqft
1,Newark Airport,EWR,EWR,935996.8210162065,191376.74953083202,-74.17400156582248,40.69183016020959,79039526.6992143
2,Jamaica Bay,Queens,Boro Zone,1031085.7186032843,164018.75440320166,-73.83129979354713,40.61674619937379,143909531.69680512
3,Allerton/Pelham Gardens,Bronx,Boro Zone,1026452.6168734727,254265.47865856893,-73.8474217852696,40.86447372906584,31685084.722049594
4,Alphabet City,Manhattan,Yellow Zone,990633.9806410479,202959.7823911368,-73.97696827424141,40.72375208451233,8023733.019955133
5,Arden Heights,Staten Island,Boro Zone,931871.3700680139,140681.35137597343,-74.18848459794721,40.55265878064343,50414884.76735331
6,Arrochar/Fort Wadsworth,Staten Island,Boro Zone,964319.735448061,157998.9356119239,-74.07177024696533,40.600324409468406,40934792.09258352
7,Astoria,Queens,Boro Zone,1006496.6791586807,216719.21816867893,-73.91969433569462,40.761492617043125,39341043.986175336
8,Astoria Park,Queens,Boro Zone,1005551.5711778702,222936.08755158543,-73.92308626324494,40.77855862576789,2682801.558287652
9,Auburndale,Queens,Boro Zone,1043002.6774243254,212969.8490136597,-73.78794875477833,40.75103435668664,34164217.96628959
10,Baisley Park,Queens,Boro Zone,1042223.6050722591,186706.49646915717,-73.79098676199028,40.67895308442328,44041425.36286887
11,Bath Beach,Brooklyn,Boro Zone,982170.7832338787,159429.3168836981,-74.00748784386448,40.60427268170344,20535743.772917036
12,Battery Park,Manhattan,Yellow Zone,979934.7305677243,195378.9728508775,-74.01556349991374,40.70294582144012,1089567.142383053
13,Battery Park City,Manhattan,Yellow Zone,979792.331028984,198691.52543753176,-74.01607927269924,40.712037924667264,4922916.440479033
14,Bay Ridge,Brooklyn,Boro Zone,975952.0350819234,166921.55042206828,-74.0298925099,40.62483367229869,67118941.99409573
15,Bay Terrace/Fort Totten,Queens,Boro Zone,1043521.3830455702,224738.6129755755,-73.78597285841018,40.7833330046879,46295763.22370654
16,Bayside,Queens,Boro Zone,1047016.784330188,217243.7604961802,-73.77342112932584,40.76273753216493,80796947.46396461
17,Bedford,Brooklyn,Boro Zone,998142.2060786379,191215.0683591191,-73.94990480444068,40.69150702161197,32629833.641303483
18,Bedford Park,Bronx,Boro Zone,1014623.3272763422,255416.74215301158,-73.89018381164814,40.86768222238494,14999657.658820206
19,Bellerose,Queens,Boro Zone,1060002.7496102,207352.35251648712,-73.72665540152784,40.73548651046706,55195481.44740739
20,Belmont,Bronx,Boro Zone,1015821.8614530906,251810.303512513,-73.88586744911127,40.857779440562844,13556856.618540464
21,Bensonhurst East,Brooklyn,Boro Zone,988821.3915776814,158393.65778602433,-73.98353783537917,40.60142907301775,35777232.60010483
22,Bensonhurst West,Brooklyn,Boro Zone,985566.4176542887,162323.8287235864,-73.99525864587314,40.61221766982795,46668757.169960044
23,Bloomfield/Emerson Hill,Staten Island,Boro Zone,936800.3814228631,160268.1237133335,-74.17088508711593,40.60644824321443,211512496.378488
24,Bloomingdale,Manhattan,Yellow Zone,993807.2716583572,231458.3760559646,-73.96547935663406,40.80197051563418,4230118.739452096
25,Boerum Hill,Brooklyn,Boro Zone,988101.2213261976,189071.57913936634,-73.98611374739605,40.68563370139058,12546359.069359673
26,Borough Park,Brooklyn,Boro Zone,987397.4626662626,169148.40746897226,-73.98866057160336,40.630949253264255,54005019.11895779
27,Breezy Point/Fort Tilden/Riis Beach,Queens,Boro Zone,1010116.0525911167,142998.097106859,-73.90691199328067,40.559134755628214,73092914.36603563
28,Briarwood/Jamaica Hills,Queens,Boro Zone,1037276.450260145,198588.18036389697,-73.80872922918115,40.71159648931973,29412826.442832477
29,Brighton Beach,Brooklyn,Boro Zone,995023.0950078965,150924.27687794657,-73.96121662082737,40.580921751571346,17181075.436115935
30,Broad Channel,Queens,Boro Zone,1033697.3819386285,159266.0868838442,-73.82192752206782,40.60368693988757,14756360.325047841
31,Bronx Park,Bronx,Boro Zone,1018696.4006329516,251801.91339506747,-73.87547602176667,40.85774566451417,33659775.767376676
32,Bronxdale,Bronx,Boro Zone,1021618.2183901309,254085.68414675994,-73.86490091353166,40.864002036456434,15204948.251815196
